Date,Number of Articles,SectionName
2018-01-02,1,Music
2018-01-02,1,Opinion
2018-01-02,1,Television & radio
2018-01-03,1,Environment
2018-01-03,1,Film
2018-01-03,1,Opinion
2018-01-03,1,Science
2018-01-03,1,World news
2018-01-04,1,Society
2018-01-05,1,Culture
2018-01-05,1,Opinion
2018-01-06,1,Football
2018-01-06,1,Sport
2018-01-07,1,Media
2018-01-07,1,Technology
2018-01-07,1,US news
2018-01-08,1,Film
2018-01-08,2,Politics
2018-01-08,1,Society
2018-01-09,1,Music
2018-01-09,1,Opinion
2018-01-09,2,Politics
2018-01-09,1,UK news
2018-01-10,1,Opinion
2018-01-10,1,Technology
2018-01-10,1,World news
2018-01-11,2,Education
2018-01-11,1,Sport
2018-01-12,2,Music
2018-01-12,1,Opinion
2018-01-12,1,Society
2018-01-12,1,Sport
2018-01-12,1,US news
2018-01-13,1,Sport
2018-01-13,1,US news
2018-01-13,1,World news
2018-01-15,1,Football
2018-01-15,1,Opinion
2018-01-15,1,Sport
2018-01-15,1,World news
2018-01-17,1,Environment
2018-01-17,1,Football
2018-01-17,1,Music
2018-01-17,2,Politics
2018-01-17,1,Sport
2018-01-17,1,Television & radio
2018-01-18,1,Culture
2018-01-18,1,Life and style
2018-01-18,1,Music
2018-01-18,1,Technology
2018-01-18,1,US news
2018-01-19,2,Business
2018-01-19,1,Environment
2018-01-19,1,Film
2018-01-19,2,Music
2018-01-19,1,Opinion
2018-01-19,1,Society
2018-01-19,1,Sport
2018-01-20,1,Culture
2018-01-20,1,Sport
2018-01-21,1,Food
2018-01-21,1,Music
2018-01-21,1,World news
2018-01-22,1,Education
2018-01-22,2,Sport
2018-01-22,1,UK news
2018-01-22,2,World news
2018-01-23,2,Business
2018-01-24,1,Business
2018-01-25,1,Football
2018-01-25,2,Opinion
2018-01-25,1,US news
2018-01-26,1,Books
2018-01-26,1,Music
2018-01-26,1,Society
2018-01-27,1,Business
2018-01-28,1,Art and design
2018-01-28,1,Culture
2018-01-28,1,Music
2018-01-28,1,US news
2018-01-29,1,Football
2018-01-29,4,Music
2018-01-29,1,Politics
2018-01-30,1,Business
2018-01-30,1,Culture
2018-01-30,1,Sport
2018-01-31,2,Business
2018-01-31,1,Fashion
2018-01-31,1,UK news
2018-01-31,1,US news
2018-02-01,1,Media
2018-02-01,1,Music
2018-02-01,1,Sport
2018-02-01,1,World news
2018-02-02,1,Fashion
2018-02-02,1,Global development
2018-02-02,2,Music
2018-02-02,1,Opinion
2018-02-02,1,Sport
2018-02-03,1,Books
2018-02-03,1,Life and style
2018-02-03,2,Sport
2018-02-04,1,Culture
2018-02-04,1,Opinion
2018-02-05,1,Australia news
2018-02-05,2,Culture
2018-02-05,1,Football
2018-02-05,1,Music
2018-02-05,1,Sport
2018-02-05,1,Stage
2018-02-05,1,World news
2018-02-06,1,Books
2018-02-06,1,Television & radio
2018-02-07,1,Australia news
2018-02-07,1,Fashion
2018-02-07,1,Film
2018-02-07,1,Music
2018-02-07,1,Politics
2018-02-07,1,Sport
2018-02-07,1,Technology
2018-02-07,1,Television & radio
2018-02-07,1,UK news
2018-02-07,2,World news
2018-02-08,1,Food
2018-02-08,1,Sport
2018-02-08,1,UK news
2018-02-08,1,World news
2018-02-09,2,Business
2018-02-09,1,Culture
2018-02-09,2,Environment
2018-02-09,2,Film
2018-02-09,1,Football
2018-02-09,1,Media
2018-02-10,1,Membership
2018-02-10,1,Sport
2018-02-10,1,Television & radio
2018-02-11,1,Fashion
2018-02-11,1,Film
2018-02-11,1,Television & radio
2018-02-12,1,Football
2018-02-12,1,Media
2018-02-12,1,Stage
2018-02-12,1,World news
2018-02-13,1,Education
2018-02-13,1,World news
2018-02-14,1,Fashion
2018-02-14,1,Football
2018-02-14,1,Life and style
2018-02-14,1,Television & radio
2018-02-15,1,Life and style
2018-02-15,1,World news
2018-02-16,1,Film
2018-02-16,1,Life and style
2018-02-16,1,Opinion
2018-02-16,1,Society
2018-02-16,1,US news
2018-02-17,1,Culture
2018-02-17,1,Music
2018-02-18,1,Books
2018-02-18,1,Fashion
2018-02-18,1,Film
2018-02-18,2,Opinion
2018-02-18,2,World news
2018-02-19,1,Business
2018-02-19,1,Environment
2018-02-19,1,Sport
2018-02-20,1,Football
2018-02-21,1,Art and design
2018-02-21,3,Music
2018-02-21,1,Opinion
2018-02-21,1,Television & radio
2018-02-21,2,World news
2018-02-22,1,Australia news
2018-02-22,1,Business
2018-02-22,1,Film
2018-02-22,1,Life and style
2018-02-22,1,Music
2018-02-22,1,Society
2018-02-22,1,Travel
2018-02-22,1,World news
2018-02-23,2,Film
2018-02-23,1,Politics
2018-02-23,2,Sport
2018-02-23,1,World news
2018-02-24,1,Opinion
2018-02-24,2,Sport
2018-02-25,1,Film
2018-02-25,1,Global development
2018-02-25,1,Opinion
2018-02-25,1,Society
2018-02-25,1,Sport
2018-02-26,2,Film
2018-02-26,1,Stage
2018-02-26,2,World news
2018-02-27,1,Music
2018-02-27,1,Technology
2018-02-28,1,Football
2018-02-28,1,Society
2018-02-28,1,Sport
2018-02-28,1,Stage
2018-03-01,1,Business
2018-03-01,2,Music
2018-03-01,1,Sport
2018-03-02,1,Business
2018-03-02,1,Fashion
2018-03-02,1,Football
2018-03-02,1,Life and style
2018-03-02,1,Music
2018-03-02,2,UK news
2018-03-02,1,World news
2018-03-03,1,Business
2018-03-03,1,Environment
2018-03-03,1,Film
2018-03-03,2,Sport
2018-03-04,1,Film
2018-03-04,1,Media
2018-03-04,1,Technology
2018-03-04,1,Television & radio
